FIPS,State,County,% Fair/Poor,% Rural,Costs,% Food Insecure,Years of Potential Life Lost Rate,% Obese,% Physically Inactive,% Excessive Drinking,% Unemployed,Median Household Income,# Primary Care Physicians,PCP Rate,# Mental Health Providers,MHP Rate,% Frequent Physical Distress,% Insufficient Sleep
01001,Alabama,Autauga,18,42.0,10674,14,9409,36,31,17,5.3,54487,25,45,7,13,13,36
01003,Alabama,Baldwin,18,42.3,9537,13,7468,29,25,17,5.4,56460,148,73,186,89,13,33
01005,Alabama,Barbour,26,67.8,9791,23,8929,44,31,13,8.6,32884,11,42,2,8,16,39
01007,Alabama,Bibb,20,68.4,10756,16,11742,38,38,16,6.6,43079,12,53,2,9,13,38
01009,Alabama,Blount,21,90.0,10326,11,9359,36,29,15,5.5,47213,12,21,5,9,14,36
01011,Alabama,Bullock,29,51.4,10314,24,12343,40,30,13,7.2,34278,3,28,1,10,17,45
01013,Alabama,Butler,27,71.2,10176,22,12779,36,34,13,7.1,35409,7,35,5,25,16,42
01015,Alabama,Calhoun,20,33.7,10901,17,11528,36,33,15,6.7,41778,75,65,108,94,13,41
01017,Alabama,Chambers,25,49.1,9257,20,10350,38,33,14,5.5,39530,16,47,1,3,15,37
01019,Alabama,Cherokee,19,85.7,11470,14,11683,36,36,15,5.2,41456,10,39,5,19,13,35
01021,Alabama,Chilton,21,86.7,10515,14,11100,36,30,15,5.6,44188,8,18,17,39,14,35
01023,Alabama,Choctaw,24,100.0,11241,21,11559,40,33,13,8.9,32691,5,38,,,15,38
01025,Alabama,Clarke,28,76.0,9935,25,9134,38,29,13,11.1,34061,14,57,14,57,16,41
01027,Alabama,Clay,21,100.0,9782,15,10236,38,32,15,6.2,38512,4,30,1,7,14,39
01029,Alabama,Cleburne,18,100.0,11134,14,11380,35,32,16,6.1,43483,4,27,6,40,13,34
01031,Alabama,Coffee,20,47.2,9856,15,7295,34,30,16,6.1,48632,29,57,28,55,14,37
01033,Alabama,Colbert,20,43.9,10879,17,10567,35,31,16,7.0,46572,34,63,14,26,13,37
01035,Alabama,Conecuh,29,80.9,10935,24,12051,38,31,11,8.6,29758,5,39,8,65,18,42
01037,Alabama,Coosa,24,100.0,10704,18,9704,40,30,14,6.1,36441,,,1,9,15,37
01039,Alabama,Covington,22,69.7,10887,16,10307,34,31,15,7.0,35010,19,50,20,53,14,36
01041,Alabama,Crenshaw,22,100.0,10220,17,9452,40,30,14,6.0,37374,2,14,7,50,14,38
01043,Alabama,Cullman,21,73.2,10124,13,10054,35,29,16,5.1,41543,45,55,94,114,14,35
01045,Alabama,Dale,23,50.9,10692,17,7910,37,29,14,5.9,40523,11,22,39,79,14,41
01047,Alabama,Dallas,29,45.6,10329,30,12999,42,30,12,9.4,30488,29,71,18,45,17,42
01049,Alabama,DeKalb,23,90.1,10156,12,9761,31,32,15,6.2,37128,29,41,12,17,15,36
01051,Alabama,Elmore,19,54.2,10032,14,8818,37,30,17,4.9,54553,24,29,9,11,13,38
01053,Alabama,Escambia,24,63.5,11032,20,10773,39,32,13,6.7,35096,15,40,18,48,15,40
01055,Alabama,Etowah,23,37.5,12309,16,11419,37,34,14,6.0,40972,84,82,95,93,15,41
01057,Alabama,Fayette,20,80.2,11417,16,10282,36,37,15,7.0,38403,17,101,2,12,14,39
01059,Alabama,Franklin,22,70.4,11749,14,11640,33,38,15,6.1,37049,15,47,3,9,15,38
01061,Alabama,Geneva,24,89.6,10500,16,9970,37,29,15,5.9,36976,7,26,4,15,15,37
01063,Alabama,Greene,34,100.0,10073,32,14001,42,32,10,10.1,26559,5,59,1,12,19,45
01065,Alabama,Hale,27,89.2,10359,24,10561,41,34,13,7.8,35381,3,20,1,7,17,42
01067,Alabama,Henry,21,87.8,10535,16,7766,38,31,14,6.6,41426,5,29,3,17,14,38
01069,Alabama,Houston,24,33.8,10094,18,8720,33,29,16,5.9,42910,96,92,129,124,15,37
01071,Alabama,Jackson,20,77.0,10993,14,11392,37,32,15,6.4,41407,29,55,22,42,14,38
01073,Alabama,Jefferson,20,9.8,9862,19,10474,33,28,16,5.9,50109,700,106,952,144,13,36
01075,Alabama,Lamar,25,100.0,10176,17,9713,34,34,14,5.7,38358,,,2,14,15,38
01077,Alabama,Lauderdale,19,49.3,9847,16,8672,35,31,15,6.4,44124,51,55,127,138,13,35
01079,Alabama,Lawrence,21,91.3,10447,15,10953,34,37,15,7.0,43107,7,21,36,108,14,39
01081,Alabama,Lee,19,27.4,8634,18,7982,30,25,18,5.3,47749,78,50,125,79,13,37
01083,Alabama,Limestone,18,57.6,10153,13,7437,34,30,16,5.3,52181,32,35,37,40,12,37
01085,Alabama,Lowndes,30,100.0,10324,28,14444,46,31,11,10.8,32011,1,10,,,17,43
